id,username,score,created_at,consecutive_wins,money_per_round
70,Luca,530,2025-08-27T15:24:15.115Z,10,59
69,Luca,86,2025-08-27T15:22:24.807Z,11,40
68,Lxxpe,11,2025-08-26T18:09:57.441Z,2,12
67,admin,27,2025-08-26T17:17:17.577Z,8,16
66,Gast,328,2025-08-26T17:06:31.081Z,6,47
65,Luca,62,2025-08-26T13:34:32.133Z,4,38
63,Luca,288,2025-08-26T13:10:30.679Z,3,76
62,Luca,29,2025-08-26T12:14:25.000Z,3,19
61,admin,17,2025-08-26T12:13:46.541Z,4,13
60,Gast,16,2025-08-26T10:03:51.965Z,4,12
59,Gast,77,2025-08-26T09:48:59.121Z,13,40
58,Gast,236,2025-08-26T09:47:02.275Z,11,32
57,Gast,231,2025-08-26T09:46:49.797Z,11,24
56,Gast,408,2025-08-26T09:46:01.874Z,8,24
55,Gast,226,2025-08-26T09:45:18.042Z,8,28
54,Gast,50,2025-08-26T09:43:13.190Z,26,30
53,Gast,5,2025-08-26T08:18:02.376Z,7,5
52,Gast,55,2025-08-26T08:17:55.984Z,7,36
51,admin,78,2025-08-26T07:08:19.754Z,12,38
49,Daniel,3755,2025-08-25T19:17:03.638Z,16,302
48,Daniel,3755,2025-08-25T19:17:03.336Z,16,302
47,Daniel,3755,2025-08-25T19:16:54.278Z,16,302
38,Lxxpe,95,2025-08-25T18:34:35.678Z,9,39
36,Lxxpe,83,2025-08-25T18:33:01.084Z,10,47
32,Daniel,310,2025-08-25T18:29:19.849Z,11,107
24,Lxxpe,69,2025-08-25T18:04:31.065Z,9,37
23,Lxxpe,15,2025-08-25T18:04:08.858Z,4,12
20,Lxxpe,28,2025-08-25T18:02:37.084Z,8,19
16,Lxxpe,4,2025-08-25T17:54:20.897Z,8,4
15,Lxxpe,7,2025-08-25T17:54:17.626Z,8,7
14,Lxxpe,7,2025-08-25T17:54:17.497Z,8,7
12,Lxxpe,27,2025-08-25T17:52:39.229Z,8,16
8,Lxxpe,25,2025-08-25T17:50:43.926Z,4,20
6,Lxxpe,2,2025-08-25T17:44:21.217Z,2,2
5,Daniel,412,2025-08-25T17:39:55.196Z,12,47
3,Daniel,103,2025-08-25T17:39:00.744Z,4,17
